two dog wrestle hug	 | no dog wrestling hugging	 | CONTRADICTION	 | NEUTRAL
several ferret climb cage	 | several ferret climb cage	 | NEUTRAL	 | ENTAILMENT
man get car	 | man get car	 | NEUTRAL	 | ENTAILMENT
man get car garage	 | man get garage car	 | NEUTRAL	 | ENTAILMENT
man perform guitar	 | man play guitar	 | ENTAILMENT	 | NEUTRAL
no man sing play guitar	 | man play guitar	 | NEUTRAL	 | CONTRADICTION
man sing play guitar	 | man perform guitar	 | ENTAILMENT	 | NEUTRAL
lady break raw egg bowl	 | lady n't break raw egg bowl	 | CONTRADICTION	 | ENTAILMENT
woman crack egg bowl	 | lady n't break raw egg bowl	 | CONTRADICTION	 | NEUTRAL
soccer player kick soccer ball goal	 | soccer player score goal	 | ENTAILMENT	 | NEUTRAL
man woman eat happily	 | man woman eat	 | ENTAILMENT	 | NEUTRAL
man woman talk	 | man woman not eat	 | NEUTRAL	 | CONTRADICTION
person pour olive oil pot stove	 | person pour olive oil stove pot	 | NEUTRAL	 | ENTAILMENT
woman walk dog street	 | woman restrain dog	 | NEUTRAL	 | ENTAILMENT
guinea pig , small , gnaw eat piece carrot floor	 | guinea pig eat carrot	 | ENTAILMENT	 | NEUTRAL
no small guinea pig gnawing eat piece carrot floor	 | guinea pig eat carrot	 | CONTRADICTION	 | NEUTRAL
woman cook egg skillet	 | woman prepare egg skillet	 | ENTAILMENT	 | NEUTRAL
lady pencil eyeshadow	 | girl use eye pencil eyelid	 | ENTAILMENT	 | NEUTRAL
girl use pencil eye eyelid	 | woman pencil eyeshadow	 | ENTAILMENT	 | NEUTRAL
girl use eye pencil eyelid	 | woman pencil eyeshadow	 | ENTAILMENT	 | NEUTRAL
girl practice piano	 | girl play piano	 | ENTAILMENT	 | NEUTRAL
girl , little , play grand piano stage	 | girl play piano	 | ENTAILMENT	 | NEUTRAL
no woman cook egg	 | woman cook something	 | NEUTRAL	 | CONTRADICTION
two cat playfully fight	 | cat play	 | ENTAILMENT	 | NEUTRAL
two bike ride two people	 | two people rid motorcycle	 | NEUTRAL	 | ENTAILMENT
woman play flute	 | woman put flute	 | NEUTRAL	 | CONTRADICTION
woman put flute	 | woman play flute	 | NEUTRAL	 | CONTRADICTION
man lift weight	 | man n't lift weight	 | CONTRADICTION	 | ENTAILMENT
man n't lift weight	 | man lift barbell	 | CONTRADICTION	 | NEUTRAL
girl apply makeup face	 | lady put makeup	 | ENTAILMENT	 | NEUTRAL
herd deer cross street	 | herd caribous cross road	 | NEUTRAL	 | ENTAILMENT
two men fight pasture cow	 | two men fight cattle pen	 | ENTAILMENT	 | NEUTRAL
woman put cosmetic eyelid	 | woman apply cosmetic eyelid	 | ENTAILMENT	 | NEUTRAL
woman put cosmetic eyelid	 | woman remove cosmetic eyelid	 | CONTRADICTION	 | NEUTRAL
woman pencil eyeshadow	 | woman remove cosmetic eyelid	 | CONTRADICTION	 | ENTAILMENT
large green ball hit potato	 | big potato knock green ball	 | NEUTRAL	 | ENTAILMENT
different team play football field	 | two team play soccer	 | ENTAILMENT	 | NEUTRAL
boy play keyboard	 | boy practice keyboard	 | ENTAILMENT	 | NEUTRAL
man stag microphone sing	 | man stage sing microphone	 | NEUTRAL	 | ENTAILMENT
man suit stand microphone singing	 | man stag microphone sing	 | ENTAILMENT	 | NEUTRAL
child jump trampoline	 | child jump trampoline	 | NEUTRAL	 | ENTAILMENT
nobody play trampoline	 | child jump trampoline	 | CONTRADICTION	 | NEUTRAL
man jump onto low wall	 | man jump low wall	 | CONTRADICTION	 | ENTAILMENT
man athletically jump wall	 | man jump onto low wall	 | NEUTRAL	 | ENTAILMENT
woman drive car talk man seat beside	 | woman man not travel car	 | CONTRADICTION	 | ENTAILMENT
nobody brush cat	 | person comb fur cat	 | CONTRADICTION	 | NEUTRAL
man fast	 | man eat	 | CONTRADICTION	 | NEUTRAL
no man eat food	 | man eat	 | CONTRADICTION	 | NEUTRAL
woman carefully apply cosmetic eyelid	 | woman use eye pencil apply eye liner eyelid	 | NEUTRAL	 | ENTAILMENT
monkey kick gloved hand person	 | monkey kick person 's glove	 | ENTAILMENT	 | NEUTRAL
gloved person kick hand monkey	 | monkey kick gloved hand person	 | NEUTRAL	 | ENTAILMENT
monkey train martial art	 | monkey practice martial art	 | ENTAILMENT	 | NEUTRAL
man miss soccer ball	 | man kick soccer ball	 | NEUTRAL	 | ENTAILMENT
man trick soccer ball	 | man kick soccer ball	 | NEUTRAL	 | ENTAILMENT
man perform trick soccer ball	 | man kick soccer ball	 | ENTAILMENT	 | NEUTRAL
man cut tape box	 | man tap cut box	 | NEUTRAL	 | ENTAILMENT
man tap cut box	 | man cut box	 | NEUTRAL	 | ENTAILMENT
kid practice instrument	 | kid play instrument	 | ENTAILMENT	 | NEUTRAL
boy , young , play wind instrument	 | kid play instrument	 | ENTAILMENT	 | NEUTRAL
young boy play wind instrument	 | kid play instrument	 | ENTAILMENT	 | NEUTRAL
man trek wood	 | man sit wood	 | NEUTRAL	 | ENTAILMENT
man sit wood	 | man hike wood	 | NEUTRAL	 | ENTAILMENT
man trek wood	 | man hike wood	 | ENTAILMENT	 | NEUTRAL
lady stir meat bowl	 | lady mix meat mixture bowl	 | ENTAILMENT	 | NEUTRAL
lady mix meat mixture bowl	 | woman not stir meat bowl	 | CONTRADICTION	 | ENTAILMENT
kitten play blue rope toy	 | little cat play toy	 | ENTAILMENT	 | NEUTRAL
boy run away fishing line	 | boy run towards fishing line	 | CONTRADICTION	 | ENTAILMENT
squirrel run circle	 | animal run circle	 | ENTAILMENT	 | NEUTRAL
squirrel run circle	 | animal run circle	 | ENTAILMENT	 | NEUTRAL
woman boil egg	 | woman dry egg	 | NEUTRAL	 | ENTAILMENT
person kick ball soccer game somebody 's foot	 | person kick soccer ball foot	 | ENTAILMENT	 | NEUTRAL
no person kick soccer ball somebody 's foot	 | person kick soccer ball foot	 | NEUTRAL	 | CONTRADICTION
child run ocean wave	 | child star ocean wave	 | NEUTRAL	 | ENTAILMENT
boy wave young runner ocean	 | young boy run ocean wave	 | NEUTRAL	 | ENTAILMENT
man woman walk wood	 | man woman stroll	 | NEUTRAL	 | ENTAILMENT
man woman walk wood	 | man woman walk	 | ENTAILMENT	 | NEUTRAL
man woman walk wood	 | man woman walk	 | ENTAILMENT	 | NEUTRAL
airplane fly air	 | airplane station ground	 | CONTRADICTION	 | NEUTRAL
south african plane fly blue sky	 | airplane swiftly fly air	 | NEUTRAL	 | ENTAILMENT
panda bear eat bamboo	 | one panda eat bamboo cane	 | ENTAILMENT	 | NEUTRAL
man fold tortilla	 | man unfold tortilla	 | NEUTRAL	 | CONTRADICTION
woman debone fish	 | woman free fish	 | CONTRADICTION	 | NEUTRAL
man play violin	 | man harp play	 | NEUTRAL	 | ENTAILMENT
one woman hand volleyball another woman	 | woman receive volleyball	 | ENTAILMENT	 | NEUTRAL
man put away guitar	 | man play guitar	 | CONTRADICTION	 | NEUTRAL
white cat perch small wooden cabinet look outside window	 | someone perch look small wooden cat white cabinet outside window	 | NEUTRAL	 | ENTAILMENT
baby lick dog	 | dog lick baby	 | NEUTRAL	 | ENTAILMENT
dog lick toddler	 | dog lick baby	 | NEUTRAL	 | ENTAILMENT
woman not dice garlic	 | woman chop garlic	 | CONTRADICTION	 | ENTAILMENT
person jot something pencil	 | person write pencil	 | ENTAILMENT	 | NEUTRAL
person write pencil	 | writing person pencil	 | NEUTRAL	 | ENTAILMENT
person jot something pencil	 | person write	 | ENTAILMENT	 | NEUTRAL
no person write	 | person write pencil	 | CONTRADICTION	 | NEUTRAL
someone boil okra pot	 | someone boil okra pot	 | NEUTRAL	 | ENTAILMENT
squirrel spin around circle	 | animal run around circle	 | ENTAILMENT	 | NEUTRAL
piece paper not cut	 | paper cut scissors	 | CONTRADICTION	 | NEUTRAL
paper scissors cut	 | piece paper cut	 | NEUTRAL	 | ENTAILMENT
man practice drum	 | man play drum	 | ENTAILMENT	 | NEUTRAL
man floor exercise	 | man exercise floor	 | NEUTRAL	 | ENTAILMENT
monkey rid bike	 | monkey rid bicycle	 | ENTAILMENT	 | NEUTRAL
monkey rid bike	 | bike ride monkey	 | NEUTRAL	 | ENTAILMENT
man rid bicycle	 | monkey rid bicycle	 | NEUTRAL	 | ENTAILMENT
fish swim	 | fish not swim	 | NEUTRAL	 | CONTRADICTION
pan drop meat	 | meat drop pan	 | NEUTRAL	 | ENTAILMENT
woman clumsily put meat pan	 | meat drop pan	 | ENTAILMENT	 | NEUTRAL
woman handle frog	 | person hold frog	 | ENTAILMENT	 | NEUTRAL
runner race track	 | racer run track	 | ENTAILMENT	 | NEUTRAL
men place suitcase trunk car	 | men pack suitcase trunk car	 | ENTAILMENT	 | NEUTRAL
men put suitcase trunk car	 | men pack suitcase trunk car	 | ENTAILMENT	 | NEUTRAL
woman put eyeshadow	 | woman remove make-up	 | CONTRADICTION	 | NEUTRAL
toy train strike toy car	 | car train strike toy	 | NEUTRAL	 | ENTAILMENT
person not slicing onion	 | person peel onion	 | NEUTRAL	 | CONTRADICTION
several swimmer jump water	 | several swimmer jump water	 | NEUTRAL	 | ENTAILMENT
no boy look calendar	 | boy study calendar	 | CONTRADICTION	 | NEUTRAL
person scrub zucchini	 | person pack zucchini	 | NEUTRAL	 | ENTAILMENT
woman scrub zucchini vegetable brush	 | woman eat zucchini vegetable scrub brush	 | NEUTRAL	 | ENTAILMENT
man hat play harp	 | man play instrument	 | ENTAILMENT	 | NEUTRAL
cat play piano	 | cat play keyboard	 | NEUTRAL	 | ENTAILMENT
cat play piano	 | no cat playing keyboard	 | CONTRADICTION	 | NEUTRAL
man wilderness walking path	 | man walk along path wilderness	 | NEUTRAL	 | ENTAILMENT
man dance ceiling room	 | no man dance upside-down ceiling	 | CONTRADICTION	 | NEUTRAL
man silent still	 | man sing play guitar	 | CONTRADICTION	 | NEUTRAL
woman dance outside	 | people dance	 | ENTAILMENT	 | NEUTRAL
no group people dance	 | woman dance outside	 | CONTRADICTION	 | NEUTRAL
boy front dance people	 | boy dance front people	 | NEUTRAL	 | ENTAILMENT
two men funny skit boxer front crowd people	 | funny crowd people skit two box men	 | NEUTRAL	 | ENTAILMENT
biker rid away fence	 | biker rid along top fence	 | NEUTRAL	 | ENTAILMENT
girl awaken	 | girl wake	 | ENTAILMENT	 | NEUTRAL
child slowly wake	 | girl wake	 | NEUTRAL	 | ENTAILMENT
no child wake	 | girl wake	 | CONTRADICTION	 | NEUTRAL
man rope climb	 | man climb rope	 | NEUTRAL	 | ENTAILMENT
man climb rope	 | man rope climb	 | NEUTRAL	 | ENTAILMENT
woman put kangaroo	 | woman pick kangaroo	 | CONTRADICTION	 | NEUTRAL
woman pick baby kangaroo	 | woman put kangaroo	 | NEUTRAL	 | ENTAILMENT
man break tile hand	 | man repair tile hand	 | NEUTRAL	 | ENTAILMENT
man break wooden board hand	 | man break board make wood hand	 | ENTAILMENT	 | CONTRADICTION
man break wooden hand board	 | man break wooden board hand	 | NEUTRAL	 | ENTAILMENT
man rid horse	 | horse rid man	 | NEUTRAL	 | ENTAILMENT
horse rid man	 | man rid horse	 | NEUTRAL	 | ENTAILMENT
man draw picture	 | person paint	 | NEUTRAL	 | ENTAILMENT
person not draw	 | man draw picture	 | CONTRADICTION	 | ENTAILMENT
someone draw person	 | man draw picture	 | NEUTRAL	 | ENTAILMENT
woman cut onion	 | woman not cut meat	 | ENTAILMENT	 | NEUTRAL
man erase man 's work board	 | girl erase man 's work board	 | NEUTRAL	 | ENTAILMENT
man erase man 's work board	 | man erase draw board	 | NEUTRAL	 | ENTAILMENT
no woman slice eggplant	 | woman cut vegetable	 | NEUTRAL	 | CONTRADICTION
man cut slice bread	 | person slice piece bread	 | ENTAILMENT	 | NEUTRAL
nobody slice piece bread	 | man slice bread	 | CONTRADICTION	 | NEUTRAL
person slice piece bread	 | no man slice bread	 | NEUTRAL	 | CONTRADICTION
animal big eye sleep	 | animal big eye eat	 | CONTRADICTION	 | NEUTRAL
lemur eat quickly	 | animal big eye eat	 | ENTAILMENT	 | NEUTRAL
two men play guitar	 | two girl play guitar	 | NEUTRAL	 | ENTAILMENT
no clown singing people not dance	 | clown sing people dance	 | CONTRADICTION	 | NEUTRAL
people sing clown dance	 | clown sing people dance	 | NEUTRAL	 | ENTAILMENT
person not quickly chop mushroom knife	 | man rapidly chop mushroom knife	 | NEUTRAL	 | ENTAILMENT
plane take	 | no airplane take	 | CONTRADICTION	 | ENTAILMENT
man paint	 | man draw	 | ENTAILMENT	 | NEUTRAL
man draw	 | girl draw man	 | NEUTRAL	 | ENTAILMENT
woman pick	 | woman take	 | ENTAILMENT	 | NEUTRAL
man cut paper	 | man cut piece paper	 | NEUTRAL	 | ENTAILMENT
man rid horse desert	 | man rid horse sandy land	 | ENTAILMENT	 | NEUTRAL
two people race flip tire tractor	 | two men race tire roll competition	 | ENTAILMENT	 | NEUTRAL
person remove chopped vegetable pot stove	 | person drop chopped vegetable pot stove	 | CONTRADICTION	 | NEUTRAL
men conversation	 | men talk	 | ENTAILMENT	 | NEUTRAL
woman talk	 | woman not talk	 | NEUTRAL	 | CONTRADICTION
no rhino graze field	 | rhino graze grass	 | CONTRADICTION	 | NEUTRAL
rhino graze field	 | rhino graze grass	 | ENTAILMENT	 | NEUTRAL
boy play piano	 | boy play musical instrument	 | ENTAILMENT	 | NEUTRAL
girl comb hair	 | girl style hair	 | ENTAILMENT	 | NEUTRAL
no girl brush hair	 | girl style hair	 | NEUTRAL	 | CONTRADICTION
girl style hair	 | girl brush hair	 | NEUTRAL	 | ENTAILMENT
cat slide upside couch	 | cat not crawl piece furniture	 | CONTRADICTION	 | NEUTRAL
man empty plastic container	 | man fill plastic container	 | CONTRADICTION	 | NEUTRAL
group men fight	 | two men fight	 | ENTAILMENT	 | NEUTRAL
woman rid horse	 | animal ride woman	 | ENTAILMENT	 | NEUTRAL
hamster sing	 | small animal sing	 | ENTAILMENT	 | NEUTRAL
man sing play guitar	 | man perform guitar	 | ENTAILMENT	 | NEUTRAL
man perform guitar	 | man play guitar	 | ENTAILMENT	 | NEUTRAL
no man sing play guitar	 | man play guitar	 | NEUTRAL	 | CONTRADICTION
boy cut grass curb scissors	 | boy shorten grass curb scissors	 | ENTAILMENT	 | NEUTRAL
boy not cut grass curb scissors	 | boy cut grass scissors	 | NEUTRAL	 | CONTRADICTION
man cut big rope sword	 | man cut thick rope sword	 | NEUTRAL	 | ENTAILMENT
man carve hole piece wood	 | man drill hole piece wood	 | NEUTRAL	 | ENTAILMENT
man drill hole piece wood	 | man drill hole piece wood	 | NEUTRAL	 | ENTAILMENT
man show small monkey	 | man exhibit small monkey	 | ENTAILMENT	 | NEUTRAL
group men play soccer beach	 | group boy not play soccer beach	 | NEUTRAL	 | CONTRADICTION
man cut piece butter mixing bowl	 | man add piece butter mixing bowl	 | ENTAILMENT	 | NEUTRAL
person kick monkey	 | monkey kick person	 | NEUTRAL	 | ENTAILMENT
man fix silencer gun	 | man fit silencer weapon	 | ENTAILMENT	 | NEUTRAL
no man fit silencer pistol	 | man fix silencer gun	 | CONTRADICTION	 | NEUTRAL
man fit silencer pistol	 | man fix silencer gun	 | ENTAILMENT	 | NEUTRAL
man motorcycle rid one wheel	 | man motorcycle trick	 | ENTAILMENT	 | NEUTRAL
man motorcycle rid one wheel	 | person perform trick motorcycle	 | ENTAILMENT	 | NEUTRAL
girl sit couch crochet	 | girl sit sofa crocheting	 | ENTAILMENT	 | NEUTRAL
dog tease monkey zoo	 | monkey tease dog zoo	 | NEUTRAL	 | ENTAILMENT
man pull-up	 | man exercise	 | ENTAILMENT	 | NEUTRAL
man exercise	 | no man pull-up	 | NEUTRAL	 | CONTRADICTION
man pull-up	 | man exercise	 | ENTAILMENT	 | NEUTRAL
man car pull beside woman walk along street	 | man car pull beside woman along road	 | ENTAILMENT	 | NEUTRAL
woman fall horse	 | woman rid horse	 | NEUTRAL	 | CONTRADICTION
woman paint man 's face	 | man paint woman 's face	 | NEUTRAL	 | ENTAILMENT
man talk phone	 | man n't talk telephone	 | CONTRADICTION	 | ENTAILMENT
man talk telephone	 | man talk phone	 | NEUTRAL	 | ENTAILMENT
no man slice potato	 | man cut potato	 | CONTRADICTION	 | ENTAILMENT
man fish river	 | man fish stream	 | NEUTRAL	 | ENTAILMENT
chef cook meal	 | chef prepare food	 | ENTAILMENT	 | NEUTRAL
man rid water toy water	 | man play water toy water	 | ENTAILMENT	 | NEUTRAL
man put season pizza	 | man put cheese pizza	 | NEUTRAL	 | ENTAILMENT
man card trick	 | man magic trick	 | NEUTRAL	 | ENTAILMENT
woman put baby waste bin	 | woman put child waste bin	 | ENTAILMENT	 | NEUTRAL
woman poke potato	 | woman not poke hole potato	 | CONTRADICTION	 | NEUTRAL
man pour cleaner sink	 | man clean sink	 | ENTAILMENT	 | NEUTRAL
woman fry food	 | no woman deep fry food	 | CONTRADICTION	 | NEUTRAL
woman deep frying food	 | woman fry food	 | ENTAILMENT	 | NEUTRAL
baby talk	 | child talk	 | ENTAILMENT	 | NEUTRAL
dog look store counter	 | dog look piece furniture shop	 | NEUTRAL	 | ENTAILMENT
tiger cub roar	 | tiger cub make sound	 | ENTAILMENT	 | NEUTRAL
woman place food pot hot water	 | woman place food pot cold water	 | CONTRADICTION	 | NEUTRAL
man rid horse	 | person rid animal	 | ENTAILMENT	 | NEUTRAL
someone fold piece paper	 | person not fold piece paper	 | CONTRADICTION	 | ENTAILMENT
bunny play stuffed bunny	 | rabbit play toy	 | ENTAILMENT	 | NEUTRAL
no rabbit play toy rabbit	 | bunny play stuffed bunny	 | CONTRADICTION	 | NEUTRAL
rabbit play toy rabbit	 | no bunny playing stuffed bunny	 | CONTRADICTION	 | NEUTRAL
bunny play stuffed bunny	 | rabbit play toy rabbit	 | ENTAILMENT	 | NEUTRAL
someone play piano	 | person play keyboard	 | ENTAILMENT	 | NEUTRAL
man jump pool	 | man dive pool	 | NEUTRAL	 | ENTAILMENT
man dive pool	 | man dive water	 | ENTAILMENT	 | NEUTRAL
man dive pool	 | man jump pool	 | NEUTRAL	 | ENTAILMENT
man rid motorbike	 | man rid scooter	 | NEUTRAL	 | ENTAILMENT
man put chicken box	 | man put food box	 | ENTAILMENT	 | NEUTRAL
man put chicken container	 | man put food container	 | ENTAILMENT	 | NEUTRAL
woman take egg bowl	 | woman crack egg bowl	 | NEUTRAL	 | CONTRADICTION
little boy sing play guitar	 | little kid sing play guitar	 | ENTAILMENT	 | NEUTRAL
little kid sing play guitar	 | baby play guitar	 | ENTAILMENT	 | NEUTRAL
someone check email	 | someone read email	 | ENTAILMENT	 | NEUTRAL
someone not read email	 | man read email	 | CONTRADICTION	 | NEUTRAL
lady crack egg bowl	 | lady take egg bowl	 | NEUTRAL	 | CONTRADICTION
man crack egg bowl	 | lady crack egg bowl	 | NEUTRAL	 | ENTAILMENT
man work laptop	 | man work computer	 | ENTAILMENT	 | NEUTRAL
woman use sledgehammer break concrete block another man	 | man use sledgehammer break concrete block another man	 | NEUTRAL	 | ENTAILMENT
man use sledgehammer break concrete block another person	 | man break slab concrete sledge hammer	 | ENTAILMENT	 | NEUTRAL
man use sledgehammer break concrete block another man	 | man break block concrete sledge hammer	 | ENTAILMENT	 | NEUTRAL
no man break slab concrete sledge hammer	 | man use sledgehammer break concrete block another man	 | CONTRADICTION	 | NEUTRAL
man use sledgehammer break concrete block another man	 | man break slab concrete sledge hammer	 | ENTAILMENT	 | NEUTRAL
cupcake eat girl	 | woman eat cupcake	 | NEUTRAL	 | ENTAILMENT
girl eat cupcake	 | woman eat cupcake	 | NEUTRAL	 | ENTAILMENT
man play keyboard	 | man play instrument	 | ENTAILMENT	 | NEUTRAL
no man cut boot sword	 | man sever toe empty leather boot sword	 | CONTRADICTION	 | NEUTRAL
man wipe edge bowl	 | man clean edge bowl	 | ENTAILMENT	 | NEUTRAL
someone stir chili kettle	 | someone stir pot chili spoon	 | NEUTRAL	 | ENTAILMENT
small dog lie bed	 | small dog lie bed	 | NEUTRAL	 | ENTAILMENT
small dog lie bed	 | small dog lie bed	 | NEUTRAL	 | ENTAILMENT
woman slice butter	 | tofu slice woman	 | NEUTRAL	 | ENTAILMENT
woman slice tofu	 | woman slice butter	 | NEUTRAL	 | ENTAILMENT
man fire shotgun	 | man fire gun	 | ENTAILMENT	 | NEUTRAL
man fire shotgun	 | man shoot weapon	 | ENTAILMENT	 | NEUTRAL
man shoot shotgun	 | man fire gun	 | ENTAILMENT	 | NEUTRAL
man shoot shotgun	 | man fire shotgun	 | ENTAILMENT	 | CONTRADICTION
cow eat grass	 | cow graze	 | ENTAILMENT	 | NEUTRAL
hay eat cow	 | cow eat grass	 | ENTAILMENT	 | NEUTRAL
cow eat hay	 | cow graze	 | ENTAILMENT	 | NEUTRAL
cow eat grass	 | cow eat hay	 | ENTAILMENT	 | NEUTRAL
person rid electric bicycle	 | man rid bicycle	 | NEUTRAL	 | ENTAILMENT
person not fry	 | person fry food	 | CONTRADICTION	 | NEUTRAL
man shoot bow	 | man shoot gun	 | CONTRADICTION	 | NEUTRAL
woman dance near fire	 | woman dance near fireplace	 | NEUTRAL	 | ENTAILMENT
two woman dance sing front crowd	 | person sing dance	 | ENTAILMENT	 | NEUTRAL
skateboarder fall half pipe	 | skateboarder trick half pipe	 | NEUTRAL	 | ENTAILMENT
skateboarder trick half pipe	 | boy skateboard half pipe	 | NEUTRAL	 | ENTAILMENT
man woman drive road car	 | man woman drive road open-air vehicle	 | NEUTRAL	 | ENTAILMENT
two men box	 | two men fight	 | ENTAILMENT	 | NEUTRAL
someone pour ingredient pot	 | someone add ingredient pot	 | ENTAILMENT	 | NEUTRAL
someone pour ingredient pot	 | man remove vegetable pot	 | NEUTRAL	 | ENTAILMENT
man put vegetable pot	 | someone pour ingredient pot	 | ENTAILMENT	 | NEUTRAL
black topless person pack pile rock front cloud background	 | topless person back pack front pile rock cloud background	 | NEUTRAL	 | ENTAILMENT
boy blue face dirt shirt	 | boy blue shirt dirt face	 | NEUTRAL	 | ENTAILMENT
man hat walk store	 | man hat walk past store	 | NEUTRAL	 | ENTAILMENT
large white crane fly water	 | large white crane fly near water	 | NEUTRAL	 | ENTAILMENT
dog golden fur water	 | dog golden fur water	 | CONTRADICTION	 | ENTAILMENT
girl not carry sign no group people follow	 | young girl blue shirt walk sidewalk hold pink sign	 | CONTRADICTION	 | NEUTRAL
girl carry sign group people follow	 | no young girl blue shirt walk sidewalk hold pink sign	 | CONTRADICTION	 | NEUTRAL
small dog chase large brown cow	 | dog , small , chase large brown cow	 | ENTAILMENT	 | NEUTRAL
small child wad water guide another person	 | no young child splash water	 | CONTRADICTION	 | NEUTRAL
little dog drop bedroom slipper mouth	 | little dog grab bedroom slipper mouth	 | NEUTRAL	 | ENTAILMENT
person blue jacket jump tall cement wall	 | person blue jacket jump onto tall cement wall	 | NEUTRAL	 | ENTAILMENT
person cement jacket blue tall wall jumping	 | person blue jacket jump tall cement wall	 | NEUTRAL	 | ENTAILMENT
woman jean sit saddle horse	 | no person wear jean sit top horse saddle	 | CONTRADICTION	 | NEUTRAL
brown white dog hold baseball mouth	 | baseball hold mouth black white dog	 | ENTAILMENT	 | NEUTRAL
young boy wear red swimsuit jump blue kiddy pool	 | young boy wear red swimsuit jump blue kiddy pool	 | CONTRADICTION	 | ENTAILMENT
group race dog nose muzzle	 | group dog race muzzle nose	 | NEUTRAL	 | ENTAILMENT
two people wad water	 | couple people wad water	 | ENTAILMENT	 | NEUTRAL
two people stand ocean watch sunset	 | two people wad water	 | NEUTRAL	 | ENTAILMENT
boy girl naked	 | boy girl swimsuit wear arm float	 | CONTRADICTION	 | NEUTRAL
boy girl not play wear arm float	 | boy girl swimsuit wear arm float	 | NEUTRAL	 | CONTRADICTION
woman yellow shirt surf pink surfboard	 | woman pink shirt surf yellow surfboard	 | NEUTRAL	 | ENTAILMENT
man sit boat font sunset , near flag	 | man ship front sunset	 | ENTAILMENT	 | NEUTRAL
no man boat front sunset	 | man sit boat font sunset , near flag	 | CONTRADICTION	 | NEUTRAL
man sit boat font sunset , near flag	 | man boat front sunset	 | ENTAILMENT	 | NEUTRAL
big dog small white dog play together	 | two dog play together grass	 | NEUTRAL	 | ENTAILMENT
brown dog jump air	 | brown dog sit	 | NEUTRAL	 | ENTAILMENT
policeman sit motorcycle	 | cop not sit police bike	 | CONTRADICTION	 | ENTAILMENT
black dog run grass	 | black dog lie grass	 | NEUTRAL	 | ENTAILMENT
tan dog run snow	 | yellow dog run white snow sunny day	 | NEUTRAL	 | ENTAILMENT
little girl pink shirt run tree desert	 | no girl wearing jean pink shirt running	 | CONTRADICTION	 | NEUTRAL
white dog wear christmas reindeer headband play dog brown coat grass	 | white dog wear reindeer ear near brown dog	 | ENTAILMENT	 | NEUTRAL
no white dog wear christmas reindeer headband play brown dog grass	 | white dog wear reindeer ear near brown dog	 | NEUTRAL	 | CONTRADICTION
white dog wear christmas reindeer headband play brown dog grass	 | white dog not wear reindeer ear n't near brown dog	 | CONTRADICTION	 | NEUTRAL
no young boy rid dirt bike mud	 | young child rid bike rough dirt path	 | NEUTRAL	 | CONTRADICTION
woman red dress put away instrument	 | woman red dress play instrument	 | CONTRADICTION	 | NEUTRAL
woman red costume lean brick wall play instrument	 | instrument play woman red dress	 | NEUTRAL	 | ENTAILMENT
surfer lean surfboard wall	 | surfer lean surfboard	 | NEUTRAL	 | ENTAILMENT
sheepdog disperse herd sheep	 | sheepdog group herd sheep	 | NEUTRAL	 | CONTRADICTION
yellow palm front building one dark skin male stand next	 | dark skin male stand one hand front yellow building	 | NEUTRAL	 | ENTAILMENT
man play guitar guitar case open donation	 | man open guitar donation play case	 | NEUTRAL	 | ENTAILMENT
nobody sit chair watch ocean	 | two adult sit chair watch ocean	 | CONTRADICTION	 | NEUTRAL
small boy yellow shirt laugh beach	 | little boy wear yellow tank top laugh	 | NEUTRAL	 | ENTAILMENT
little boy wear yellow tank top laugh	 | small boy yellow shirt laugh beach	 | NEUTRAL	 | ENTAILMENT
two men rid orange raft beach	 | two men rid orange raft shore	 | NEUTRAL	 | ENTAILMENT
dog really long hair red vest run grass	 | dog red vest run field	 | ENTAILMENT	 | NEUTRAL
dog long hair red vest run grass	 | dog red vest run field	 | ENTAILMENT	 | NEUTRAL
person stand dangerously white ice	 | person stand vast field glacial ice	 | NEUTRAL	 | ENTAILMENT
one person stand vast field glacial ice	 | person stand white ice	 | NEUTRAL	 | ENTAILMENT
person stand white ice	 | no person stand vast field glacial ice	 | NEUTRAL	 | CONTRADICTION
person stand vast field glacial ice	 | person stand white ice	 | ENTAILMENT	 | NEUTRAL
blond boy walk sand dune skateboard	 | blond boy slide sand dune skateboard	 | NEUTRAL	 | ENTAILMENT
man put electronic device	 | man hold electronic device	 | CONTRADICTION	 | ENTAILMENT
man take picture another guy	 | man hold electronic device	 | ENTAILMENT	 | NEUTRAL
brown dog black dog grass	 | brown dog black dog grass	 | CONTRADICTION	 | ENTAILMENT
group woman wear pink bunny ear point right	 | several woman wear pink bunny ear point right	 | ENTAILMENT	 | NEUTRAL
woman wear bunny ear race number curiously point something distance	 | several woman wear pink bunny ear point right	 | ENTAILMENT	 | NEUTRAL
ice hockey goalkeeper not wear yellow jersey not defend goal	 | hockey player yellow jersey guard goal	 | CONTRADICTION	 | NEUTRAL
two people look gold statue	 | two people ignore nearby gold statue	 | CONTRADICTION	 | NEUTRAL
bicyclist speed city street	 | bicyclist rid city street	 | ENTAILMENT	 | NEUTRAL
woman wear blue helmet rid bicycle parking lot	 | bicyclist not rid city street	 | ENTAILMENT	 | NEUTRAL
young girl stand one leg	 | young girl stand leg	 | CONTRADICTION	 | ENTAILMENT
tan dog rest near brush	 | tan dog run brush	 | NEUTRAL	 | ENTAILMENT
